Coluna,W-Statistic,p-value
T1,0.8857533625080167,0.25323578912461964
T2,0.8460793239007152,0.1131238180940135
T3,0.8732325653298517,0.19806300681757671
T4,0.860141963609358,0.15183399702805245
T5,0.9069724163739092,0.3753083966004815
T1_NAI,1.0,1.0
T1_NOI,1.0,1.0
T1_NER,1.0,1.0
T2_NAI,0.600399029828055,0.00027517870131475334
T2_NOI,0.8333845641645434,0.08613669465637079
T2_NER,0.4529709881264229,4.1356120884447944e-06
T3_NAI,0.4529709881264231,4.135612088444849e-06
T3_NOI,0.6003990298280553,0.0002751787013147552
T3_NER,0.4529709881264231,4.135612088444849e-06
T4_NAI,1.0,1.0
T4_NOI,1.0,1.0
T4_NER,1.0,1.0
T5_NAI,1.0,1.0
T5_NOI,1.0,1.0
T5_NER,1.0,1.0
AJUDA,0.8557514257586674,0.13863171874139707
TOTAL,0.9076471190525974,0.37982234567692746
