Coluna,W-Statistic,p-value
T1,0.9065886013605907,0.37275827542362056
T2,0.9695466936841193,0.8951645055050687
T3,0.9435572727408384,0.6709400733986287
T4,0.8570362960696908,0.14238453128879702
T5,0.6118851399074245,0.0003750366123780304
T1_NAI,0.8180887757529733,0.06155014797813376
T1_NOI,0.8557514257586674,0.13863171874139707
T1_NER,0.6644356291814653,0.0014974413152577326
T2_NAI,0.7692780592288098,0.020085938250542654
T2_NOI,0.7729367716529897,0.021893412699929487
T2_NER,0.4529709881264229,4.1356120884447944e-06
T3_NAI,1.0,1.0
T3_NOI,0.4529709881264229,4.1356120884447944e-06
T3_NER,1.0,1.0
T4_NAI,0.6003990298280553,0.0002751787013147552
T4_NOI,0.6003990298280553,0.0002751787013147552
T4_NER,0.4529709881264229,4.1356120884447944e-06
T5_NAI,0.4529709881264229,4.1356120884447944e-06
T5_NOI,0.6461875270827655,0.0009314464717012313
T5_NER,0.4529709881264229,4.1356120884447944e-06
AJUDA,0.8180887757529733,0.06155014797813376
TOTAL,0.8215105997517074,0.06640169867664943
